Events,occurances
carousel0-carousel0,648
carousel1-carousel0,490
carousel2-carousel0,260
carousel3-carousel0,207
featured-carousel0,75
carousel2-carousel2-carousel0,75
carousel2-carousel2,47
carousel2-carousel2-carousel2-carousel0,38
carousel2-carousel2-carousel0,75
carousel2-carousel2,47
carousel2-carousel2-carousel2-carousel0,38
carousel0-carousel2,37
carousel3-carousel3-carousel0,42
carousel3-carousel3-carousel3,41
carousel3-carousel3,39
logo-logo,29
popular_grid-popular_grid,41
pop_this_wk-pop_this_wk,120
pop_this_wk,87
featured-pop_this_wk,67
carousel1-pop_this_wk,33
featured-featured,106
carousel0-featured,97
carousel1-featured,93
pop_this_wk-featured,76
featured,67
carousel2-featured,33
carousel0,9810
pop_this_wk,9157
featured,9102
browse,843
carousel1,706
browse,630
browse,597
browse,446
browse,426
carousel2,408
channel,390
browse,312
carousel3,311
browse,261
channel,252
channel,237
channel,218
logo,149
channel,137
channel,130
channel,127
browse,115
carousel4,105
channel,101
channel,92
channel,91
share,90

